ST_CASE,VEH_NO,PER_NO,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10126,1,1,0,0,0,0,0,0,0,0,0,26
10126,2,1,0,0,0,0,0,0,0,0,0,0
10127,1,1,23,23,23,23,23,23,23,23,23,23
10128,1,1,0,0,0,0,0,0,0,0,0,0
10128,2,1,0,0,0,0,0,0,0,0,0,0
10129,0,1,0,19,0,0,0,4,11,0,0,0
10129,1,1,0,21,0,0,0,0,0,0,0,0
10130,0,1,30,30,30,30,30,30,30,30,30,30
10130,1,1,0,0,0,0,0,0,0,0,0,0
10131,0,1,0,0,0,0,9,0,0,0,0,0
10131,1,1,0,0,20,0,17,0,0,0,0,0
10132,1,1,0,0,0,0,0,0,0,0,0,0
10132,2,1,0,0,0,0,0,0,0,0,0,20
10133,1,1,0,0,0,0,0,0,0,0,0,0
10133,2,1,0,0,0,0,0,0,0,0,0,0
10134,1,1,0,0,0,0,0,0,0,0,0,0
10134,2,1,0,0,0,0,0,0,0,0,0,0
10136,1,1,23,23,23,23,23,23,23,23,23,23
10137,1,1,26,26,26,26,26,26,26,26,26,26
10138,0,1,0,0,0,0,0,0,0,0,0,0
10138,1,1,0,0,0,0,0,0,0,0,0,0
10139,1,1,0,0,0,0,0,0,0,0,0,0
10139,2,1,0,0,0,0,0,0,0,0,0,0
10140,0,1,0,0,0,0,0,0,0,0,0,0
10140,1,1,0,0,0,0,0,0,0,0,0,0
10141,0,1,0,0,0,0,0,0,0,0,0,0
10141,1,1,0,0,0,0,0,0,0,0,0,0
10142,1,1,36,36,36,36,36,36,36,36,36,36
10143,1,1,0,0,0,0,0,0,0,0,0,0
10143,2,1,0,0,0,0,0,0,0,0,0,0
10144,1,1,0,0,0,0,0,0,0,0,0,0
10144,2,1,0,0,0,0,0,0,0,0,0,0
10145,1,1,0,0,0,0,0,0,0,14,21,0
10146,1,1,0,0,0,0,0,0,0,0,0,0
10146,2,1,0,0,0,0,0,0,0,0,0,0
10147,1,1,0,8,13,0,0,0,0,17,0,24
10147,2,1,0,0,0,0,0,0,0,0,0,0
10148,1,1,0,0,0,0,0,0,0,0,0,0
10148,2,1,0,0,0,0,0,0,0,0,0,0
10149,1,1,0,0,0,0,0,0,0,0,0,0
10149,2,1,0,0,0,0,0,0,0,0,0,0
10150,1,1,7,0,0,0,0,0,0,0,0,0
10150,2,1,0,0,0,0,0,0,0,0,0,0
10151,1,1,12,12,12,12,12,12,12,12,12,12
10152,1,1,16,0,0,0,0,0,0,0,0,0
10152,2,1,0,0,0,10,0,0,0,9,3,0
10153,1,1,0,0,0,0,0,0,0,0,0,0
10153,2,1,0,0,0,0,0,0,0,0,0,0
10154,1,1,0,0,0,0,12,0,0,0,0,11
10154,2,1,0,0,0,0,0,0,0,0,0,0
10155,1,1,0,0,0,0,0,0,0,0,0,0
10155,2,1,0,0,0,0,0,0,0,0,0,0
10155,3,1,0,0,0,0,0,0,0,0,0,0
10156,1,1,0,0,0,0,0,0,0,0,0,0
10156,2,1,0,0,0,0,0,0,0,0,0,0
10157,1,1,14,14,14,14,14,14,14,14,14,14
10158,1,1,43,43,43,43,43,43,43,43,43,43
10159,1,1,0,0,17,9,0,11,0,7,0,0
10159,2,1,0,0,0,0,0,0,0,0,0,0
10160,1,1,0,0,0,0,0,0,0,0,0,0
10160,2,1,0,0,0,0,0,0,0,0,0,0
10160,3,1,0,0,0,0,0,0,0,0,0,0
10161,1,1,24,24,24,24,24,24,24,24,24,24
10162,1,1,0,0,0,0,0,0,0,0,0,0
10163,0,1,19,19,19,19,19,19,19,19,19,19
10163,1,1,0,0,0,0,0,0,0,0,0,0
10164,1,1,0,0,0,0,0,0,0,0,0,0
10164,2,1,0,0,0,0,0,0,0,0,0,0
10165,1,1,0,0,0,0,0,0,0,0,0,0
10166,1,1,0,0,0,0,11,0,0,0,0,0
10167,1,1,0,0,0,0,0,0,0,0,0,0
10168,1,1,0,0,0,0,0,0,0,0,0,0
10169,1,1,0,0,0,0,0,0,0,0,0,0
10170,0,1,8,0,0,0,13,18,0,0,0,0
10170,1,1,0,0,0,0,18,7,0,0,0,29
10171,0,1,0,0,0,26,5,35,0,0,27,5
10171,2,1,0,0,0,0,0,0,0,0,0,0
10171,3,1,0,0,0,0,0,0,0,0,0,0
10172,0,1,0,0,0,0,0,0,0,0,0,0
10172,1,1,24,0,0,0,0,0,0,4,0,0
10173,1,1,0,0,0,0,0,0,0,0,0,0
10174,1,1,0,0,0,0,0,0,0,0,0,0
10174,2,1,0,0,0,0,0,0,0,0,0,0
10175,1,1,34,34,34,34,34,34,34,34,34,34
10176,1,1,0,0,0,0,0,0,0,0,0,0
10176,2,1,0,0,19,19,8,25,0,0,0,0
10177,0,1,0,0,0,0,0,0,0,0,0,0
10177,1,1,0,0,0,0,0,0,0,0,0,0
10178,1,1,19,19,19,19,19,19,19,19,19,19
10178,2,1,0,0,0,0,0,0,0,0,0,0
10179,0,1,27,27,27,27,27,27,27,27,27,27
10179,1,1,0,0,0,0,0,0,16,14,0,0
10180,0,1,0,0,0,0,15,12,0,25,0,0
10180,1,1,0,0,0,0,0,0,0,0,0,14
10181,1,1,0,0,0,0,0,0,0,0,0,0
10181,2,1,0,0,0,0,0,0,0,10,13,0
10182,1,1,12,12,12,12,12,12,12,12,12,12
10183,1,1,17,17,17,17,17,17,17,17,17,17
10184,0,1,0,0,0,0,0,0,0,0,0,0
10184,1,1,0,0,0,0,0,0,0,0,0,0
10185,1,1,0,0,0,0,0,0,0,0,0,0
10185,2,1,0,0,0,0,0,0,0,0,0,0
10186,1,1,0,0,0,0,0,0,0,0,0,0
10187,1,1,0,0,0,0,0,0,0,18,0,0
10188,1,1,15,0,0,0,0,0,6,0,21,0
10189,1,1,15,15,15,15,15,15,15,15,15,15
10190,1,1,0,0,0,0,0,0,0,0,0,0
10191,1,1,0,0,0,0,0,0,0,0,0,0
10191,2,1,0,0,0,0,0,0,0,0,0,0
10192,0,1,0,0,0,0,0,0,0,0,0,0
10192,1,1,0,0,0,0,0,0,0,0,0,0
10193,1,1,0,0,0,0,0,0,0,0,0,0
10194,0,1,39,39,39,39,39,39,39,39,39,39
10194,1,1,0,0,0,0,0,0,0,10,0,0
10195,1,1,0,0,0,0,0,0,0,0,0,0
10195,2,1,0,0,0,0,0,0,0,0,0,0
