ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10173,0,0,0,0,0,0,0,0,0,0
10174,0,0,0,0,0,0,0,0,0,0
10175,34,34,34,34,34,34,34,34,34,34
10176,0,0,19,19,8,25,0,0,0,0
10177,0,0,0,0,0,0,0,0,0,0
10178,19,19,19,19,19,19,19,19,19,19
10179,27,27,27,27,27,27,27,27,27,27
10180,0,0,0,0,15,12,0,25,0,14
10181,0,0,0,0,0,0,0,10,13,0
10182,12,12,12,12,12,12,12,12,12,12
10183,17,17,17,17,17,17,17,17,17,17
10184,0,0,0,0,0,0,0,0,0,0
10185,0,0,0,0,0,0,0,0,0,0
10186,0,0,0,0,0,0,0,0,0,0
10187,0,0,0,0,0,0,0,18,0,0
10188,15,0,0,0,0,0,6,0,21,0
10189,15,15,15,15,15,15,15,15,15,15
10190,0,0,0,0,0,0,0,0,0,0
10191,0,0,0,0,0,0,0,0,0,0
10192,0,0,0,0,0,0,0,0,0,0
10193,0,0,0,0,0,0,0,0,0,0
10194,39,39,39,39,39,39,39,39,39,39
10195,0,0,0,0,0,0,0,0,0,0
10196,25,0,0,0,0,0,0,0,0,9
10197,0,0,0,0,0,0,0,0,0,0
10198,12,12,12,12,12,12,12,12,12,12
10199,0,0,0,7,0,0,0,0,0,0
10200,19,0,0,0,15,7,0,0,0,0
10201,0,0,0,0,0,0,0,0,0,0
10202,3,3,3,3,3,3,3,3,3,3
10203,0,0,0,0,0,0,0,0,0,0
10204,0,0,0,0,0,0,0,0,0,0
10205,14,14,14,14,14,14,14,14,14,14
10206,0,0,0,0,0,0,0,0,0,0
10207,2,2,2,2,2,2,2,2,2,2
10208,0,0,0,0,0,0,35,0,0,0
10209,49,49,49,49,49,49,49,49,49,49
10210,0,29,15,0,20,0,0,18,0,29
10211,10,10,10,10,10,10,10,10,10,10
10212,0,0,0,0,0,0,0,0,0,0
10213,0,0,0,0,0,0,0,0,0,0
10214,0,0,0,24,0,0,0,0,0,0
10215,0,0,0,0,0,0,0,0,0,0
10217,0,0,0,0,0,0,0,0,0,0
10218,15,15,15,15,15,15,15,15,15,15
10219,0,0,0,6,0,8,0,0,29,0
10220,0,0,0,0,0,0,0,0,0,15
10221,14,14,14,14,14,14,14,14,14,14
10222,0,0,0,0,0,0,0,0,0,0
10223,0,0,0,0,0,0,0,0,0,0
10224,0,0,0,0,0,0,0,0,0,0
10225,0,0,0,0,0,0,0,0,0,0
10226,0,0,0,0,3,0,0,0,11,0
10227,21,32,17,24,15,22,7,13,0,23
10228,0,0,0,0,0,0,0,0,0,0
10229,0,0,0,0,0,0,0,0,0,0
10230,0,0,0,0,0,0,0,0,0,0
10231,0,0,0,0,0,0,0,0,0,14
10232,0,0,0,0,0,0,0,0,0,0
10233,0,0,0,0,0,0,0,0,0,0
10234,2,2,2,2,2,2,12,16,2,2
10235,0,0,0,11,0,0,0,0,0,0
10236,0,0,0,0,0,0,0,0,0,0
10237,0,0,0,0,0,0,19,15,0,0
10238,29,29,29,29,29,29,29,29,29,29
10239,27,27,27,27,27,27,27,27,27,27
10240,0,0,0,0,0,0,0,0,0,0
10241,0,0,0,0,0,0,0,0,0,0
10242,15,15,15,15,15,15,15,15,15,15
10243,0,0,0,0,0,0,0,0,0,0
10244,0,0,0,0,0,0,0,0,0,0
10245,0,0,0,0,0,0,0,0,0,0
10246,26,16,0,14,10,0,8,0,0,13
10247,0,0,0,0,0,0,0,0,0,0
10248,2,2,2,2,2,2,2,2,2,2
10249,0,0,0,0,0,0,0,0,0,0
10250,0,0,0,0,14,0,10,0,0,0
10251,22,22,22,22,22,22,22,22,22,22
10252,21,21,21,21,21,21,21,21,21,21
10253,3,3,3,3,3,3,3,3,3,3
10254,30,30,30,30,30,30,30,30,30,30
10255,24,24,24,24,24,24,24,24,24,24
10256,13,10,0,0,0,0,0,0,0,0
10257,2,2,2,2,2,2,2,2,2,2
10258,0,0,0,0,30,0,0,0,0,0
10259,0,0,0,0,0,0,0,0,0,0
10260,0,0,0,0,0,0,0,0,0,0
10261,21,21,21,21,21,21,21,21,21,21
10262,0,0,0,0,0,0,0,0,0,0
10263,27,0,0,0,0,15,0,0,0,18
10264,17,9,14,32,0,21,8,31,0,31
10265,0,0,0,0,0,0,0,0,0,0
10266,0,0,0,0,50,10,0,0,0,22
10267,11,0,0,0,0,0,0,0,0,0
10268,14,14,14,14,14,14,14,14,14,14
10269,23,23,23,23,23,23,23,23,23,23
10270,3,13,0,14,0,15,20,0,8,15
10271,22,24,0,11,15,29,0,9,0,26
10272,14,14,14,14,14,14,14,14,14,14
10273,0,0,0,15,0,0,0,12,0,0
10274,0,0,0,0,0,0,0,0,0,0
10275,0,0,0,0,0,0,0,0,0,0
10276,9,0,25,28,0,42,37,30,0,0
10277,1,1,1,1,1,1,1,1,1,1
10278,0,0,0,0,0,0,0,0,0,0
10279,0,0,0,0,0,0,0,0,0,10
10280,0,0,0,0,0,0,0,0,0,0
10281,0,0,0,0,0,0,0,0,0,0
10282,13,13,16,20,6,0,12,17,25,24
10283,27,27,27,27,27,27,27,27,27,27
10284,22,0,0,0,0,30,0,23,30,0
10285,0,15,0,0,0,0,16,0,0,0
10286,0,0,0,0,0,0,0,0,0,0
10287,8,8,8,8,8,8,8,8,8,8
10288,20,12,14,19,10,25,15,25,17,9
10289,15,15,15,15,15,15,15,15,15,15
10290,0,0,0,0,0,0,0,0,0,0
10291,0,0,0,0,0,0,0,0,0,0
10292,28,28,28,28,28,28,28,28,28,28
10293,14,0,15,0,0,20,24,0,0,0
10294,25,0,14,0,23,22,13,15,11,18
10295,21,21,21,21,21,26,21,21,21,21
10296,13,13,13,13,13,13,13,13,13,13
10297,44,44,44,44,44,44,44,44,44,44
10298,3,22,3,3,16,3,17,24,3,3
10299,0,0,0,0,0,0,8,0,11,0
10300,0,39,0,0,0,0,0,0,0,0
10301,0,0,0,0,0,0,0,0,0,0
10302,0,0,0,0,0,0,0,0,0,0
10303,0,0,0,0,0,0,0,0,0,0
10304,0,0,26,0,0,0,10,0,0,0
10305,16,16,16,16,16,16,16,16,16,16
10306,0,4,0,10,2,20,0,16,0,18
10307,11,15,18,23,10,12,25,10,20,11
10308,22,22,32,22,22,22,22,22,22,22
10309,0,0,0,0,0,0,6,0,0,0
10310,0,0,0,0,0,0,0,0,0,0
10311,0,0,0,0,0,0,0,0,0,0
10312,0,0,34,26,0,0,0,0,0,0
10313,34,34,34,34,34,34,34,34,34,34
10314,0,0,0,0,0,0,0,0,0,0
10315,18,18,18,18,18,18,18,18,18,18
10316,0,0,0,0,0,0,0,0,0,0
10317,0,0,0,0,0,0,0,0,7,0
10318,0,0,0,0,0,0,0,0,0,0
10319,0,0,0,0,0,0,0,0,0,0
10320,17,10,25,0,0,0,31,13,32,0
10322,14,14,14,14,14,14,14,14,14,14
10323,0,12,21,0,24,0,0,0,3,0
10324,3,3,3,3,3,3,3,3,3,3
10325,24,14,6,10,6,22,8,7,32,0
10326,6,7,0,0,8,16,17,0,0,0
10327,0,0,0,0,0,0,0,0,0,0
10328,0,21,0,16,0,12,0,0,0,0
10329,19,19,19,19,19,19,19,19,19,19
10330,35,35,35,35,35,35,35,35,35,35
10331,0,0,0,0,0,0,0,0,0,0
10332,0,0,0,0,0,0,0,0,0,0
10333,13,13,13,13,13,13,13,13,13,13
10334,15,15,21,24,15,15,15,15,15,15
10335,0,0,11,0,0,0,0,0,0,0
10336,0,0,0,0,0,0,0,0,0,0
10337,22,22,22,22,22,22,22,22,22,22
10338,25,19,19,19,19,19,19,19,19,27
10339,0,0,0,0,0,0,0,0,0,0
10340,5,11,12,19,41,0,19,0,0,26
10341,13,13,13,13,13,13,13,13,13,13
10342,0,0,0,0,0,0,0,0,0,0
10343,0,0,0,0,0,0,0,0,0,12
10344,0,0,0,0,0,0,0,0,0,0
10345,0,0,0,0,0,0,0,0,0,0
10346,28,28,28,28,28,28,28,28,28,28
10347,8,19,8,15,21,11,8,8,24,8
10348,0,0,0,0,0,16,29,0,0,0
10349,0,0,15,0,0,0,0,12,0,18
10350,0,13,0,0,0,0,0,10,0,24
10351,0,0,0,0,0,0,0,0,0,0
10352,0,7,0,0,34,0,3,0,0,0
10353,0,0,0,0,0,0,0,0,0,0
10354,0,0,0,0,0,0,0,0,0,0
10355,0,0,0,0,0,0,0,0,0,0
10356,0,0,0,0,0,0,0,0,0,0
10357,0,16,0,0,0,0,0,0,17,0
10358,0,0,0,0,0,0,0,0,0,0
10359,0,0,0,0,0,0,0,0,0,0
10360,0,0,0,0,0,0,0,0,0,0
10361,27,12,18,30,14,0,0,0,17,0
10362,16,16,16,16,16,16,16,16,16,16
10363,20,20,20,20,20,20,20,20,20,20
10364,0,0,0,0,0,0,0,0,0,0
10365,19,8,0,0,12,0,16,0,24,19
10366,0,14,8,0,11,0,0,21,33,0
10367,0,0,11,0,12,0,0,15,0,21
10368,0,0,0,0,0,0,0,0,0,0
10369,0,0,0,0,0,12,0,0,0,0
10370,0,0,0,0,0,0,0,0,0,0
10371,0,0,0,0,0,0,0,6,0,0
10372,0,0,0,0,0,0,0,0,0,0
10373,7,7,7,7,7,7,7,7,7,7
10374,12,12,12,12,12,12,12,12,12,12
10375,0,0,0,0,0,0,0,0,0,0
10376,0,0,0,0,0,0,0,0,0,0
10377,21,21,21,21,21,21,21,21,21,21
10378,2,2,2,2,2,2,2,2,2,2
10379,16,16,16,16,16,16,16,16,16,16
10380,0,0,0,0,0,0,0,0,0,15
10381,8,13,22,8,0,21,0,6,0,0
10382,12,12,12,12,12,12,12,12,12,12
10383,26,26,26,26,26,26,26,26,26,26
10384,22,22,22,22,22,22,22,22,22,22
10385,7,7,7,7,7,24,7,7,7,7
10386,18,18,18,18,18,18,18,18,18,18
10387,10,10,10,10,10,10,12,10,10,33
10388,12,12,12,12,12,12,12,12,12,12
10389,2,2,2,2,2,2,2,2,2,2
10390,0,0,0,0,0,0,0,0,0,0
10391,0,0,0,0,0,0,0,0,0,0
10392,0,0,0,0,0,0,0,0,0,0
10393,0,0,0,0,0,0,0,0,0,0
10394,0,0,0,0,0,0,0,0,0,0
10395,6,0,25,8,24,12,0,23,10,9
10396,0,19,7,18,0,0,0,0,0,0
10397,0,0,0,0,0,0,0,0,0,0
10398,0,0,0,0,0,0,0,0,0,0
10399,0,0,0,0,0,0,0,0,0,0
10400,29,29,29,29,29,29,29,29,29,29
10401,0,16,0,11,0,0,11,0,0,0
10402,12,12,12,12,12,12,12,12,12,12
10403,39,21,26,14,28,31,33,31,17,9
10404,10,10,10,10,10,10,10,10,10,10
10405,0,0,0,0,0,0,0,0,0,0
10406,0,0,0,0,0,0,0,0,0,24
10407,6,6,6,6,6,6,6,6,6,6
10408,0,0,0,0,0,0,0,0,0,0
10409,0,0,0,0,0,0,0,0,0,0
10410,9,9,9,9,9,9,9,9,9,9
10411,0,33,23,0,0,9,0,0,0,54
10412,24,24,24,24,24,24,24,24,24,24
10413,0,0,0,0,0,0,0,12,0,0
10414,0,0,0,0,0,0,0,0,0,0
10415,0,0,0,0,0,0,0,0,0,0
10416,0,0,0,0,0,0,0,0,0,0
10417,0,0,0,0,0,0,0,0,6,0
10418,0,0,0,0,0,0,0,0,0,0
10419,0,0,0,0,0,0,0,0,0,0
10420,0,0,0,0,0,0,0,0,0,0
